DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness,dens_slopes,pval_dens,numb_prey,numb_prey_spp,baow_a,obs_largest_prey_freq,NE_intake,sum_R,FreqBirds,NumPos
1,Tyto alba,South America,1348,1.3,BB,1.8261603940125266,7.805,36.0,13.0,17.0,0.5272727272727276,0.11730806555020212,1278.0,10.0,0.00792101786910084,0.03912363067292645,89.01875117370892,128.82285839119544,0.04154302670623145,0.0
2,Tyto alba,Europe,875,,BA,2.0277240736251105,9.165,83.0,34.0,22.0,-0.24999999999999964,0.5164895523012267,709.0,9.0,0.0,0.019746121297602257,,143.9140401861745,0.06971428571428571,0.0
3,Tyto alba,Europe,521,,BA,1.9536403268601559,8.49,83.0,34.0,22.0,0.2121212121212124,0.5563057751029292,421.0,10.0,0.0,0.007125890736342043,,153.30933900140397,0.028790786948176585,0.0
4,Tyto alba,Europe,2539,,BA,2.037968838504394,9.325,83.0,34.0,22.0,0.23636363636363653,0.5108853175151999,1869.0,10.0,0.0,0.008025682182985553,,153.30933900140397,0.09925167388735723,0.0
5,Tyto alba,Europe,799,,BA,2.074633317880325,9.52,83.0,34.0,22.0,0.19999999999999998,0.579584,608.0,10.0,0.0,0.02138157894736842,,153.30933900140397,0.07259073842302878,0.0
13,Tyto alba,North America,362,,BC,1.4988849334418572,5.865,66.0,34.0,16.0,0.45454545454545475,0.16014543725525868,360.0,11.0,0.0,0.002777777777777778,,150.65433044704173,0.0055248618784530384,0.0
27,Tyto alba,South America,2087,,BA,0.6670915302321945,3.935,99.0,33.0,42.0,0.6882352941176474,0.0032039086143957358,2042.0,16.0,0.0,0.0004897159647404506,,173.08682054036046,0.007187350263536177,0.0
28,Tyto alba,Europe,1112,2.69,BA,1.514958808319388,6.425,67.0,26.0,21.0,0.7000000000000002,0.016470978836514404,1083.0,11.0,0.006127012835855009,0.0009233610341643582,60.94300811634349,166.54252089924188,0.008093525179856115,0.0
29,Tyto alba,Europe,788,3.58,BA,1.63729892241545,6.575,67.0,26.0,21.0,-0.21666666666666673,0.5755148957119256,768.0,9.0,0.0070342635662863215,0.33203125,66.65846959635417,145.06254331383005,0.011421319796954314,0.0
30,Tyto alba,Europe,194,2.43,BA,1.453729400623194,5.965,67.0,26.0,21.0,0.39393939393939426,0.2599977668348873,177.0,10.0,0.006797428263122321,0.01694915254237288,63.53224016949154,150.11679767203506,0.07216494845360824,0.0
31,Tyto alba,Europe,349,3.14,BA,1.3213750233387414,5.54,67.0,26.0,21.0,0.1878787878787876,0.6032176100292093,340.0,10.0,0.006853402556730398,0.008823529411764706,70.24947452941177,148.89073782237003,0.011461318051575931,0.0
32,Tyto alba,Europe,538,3.54,BA,1.540339549666574,6.35,67.0,26.0,21.0,0.47878787878787926,0.1615229280174554,509.0,10.0,0.006853402556730397,0.011787819253438114,77.78808866404715,148.89073782237006,0.04275092936802974,0.0
33,Tyto alba,Europe,277,3.46,BA,1.5031378080673639,6.415,67.0,26.0,21.0,0.06363636363636364,0.8525390725425217,269.0,11.0,0.0061270128358550105,0.01486988847583643,72.71766881040892,166.54252089924185,0.02527075812274368,0.0
34,Tyto alba,Europe,394,3.68,BA,1.1378247213551014,5.11,67.0,26.0,21.0,-0.142857142857143,0.7599453002180926,366.0,7.0,0.009319816632963808,0.16393442622950818,70.95482404371585,109.48800855761095,0.03299492385786802,0.0
37,Tyto alba,South America,487,3.16,BA,1.1059434129812042,4.765,37.0,16.0,13.0,0.5727272727272725,0.06554305260101866,486.0,11.0,0.007070273862399113,0.006172839506172839,117.92563573915797,144.3237112344411,0.0,0.0
62,Tyto alba,North America,1272,,BC,1.8415790206069367,7.715,57.0,31.0,13.0,0.6691176470588237,0.003309813242884347,1251.0,17.0,0.0,0.0015987210231814548,,233.01443132901977,0.01650943396226415,0.0
70,Tyto alba,North America,328,1.78,AA,0.42145013071498316,2.515,86.0,40.0,24.0,-0.7999999999999996,0.19999999999999996,323.0,4.0,0.016677541789211478,0.1021671826625387,86.31048231483688,61.18456641646056,0.01524390243902439,0.0
71,Tyto alba,North America,343,1.99,AA,0.45146007257733634,2.675,73.0,36.0,20.0,0.3714285714285711,0.4684781341107874,337.0,6.0,0.012263452961193948,0.002967359050445104,77.95205025843921,83.20724729766167,0.011695906432748537,0.0
108,Tyto alba,Asia,207,4.92,NA,1.065374430729655,3.945,60.0,23.0,20.0,0.5000000000000003,0.3910022189557703,206.0,5.0,0.015365325305103922,0.014563106796116505,229.61544466019419,66.40979888179496,0.0,0.0
140,Tyto alba,Europe,220,,BA,1.3002169622141972,4.555,83.0,34.0,33.0,-0.14285714285714285,0.7871720116618075,219.0,6.0,0.0,0.3789954337899543,,94.09600888566304,0.0,0.0
141,Tyto alba,Europe,99,,BA,1.35889543038845,4.465,83.0,34.0,33.0,0.4857142857142858,0.3287230320699707,99.0,6.0,0.0,0.2222222222222222,,79.2137806699349,0.0,0.0
142,Tyto alba,Europe,311,,BA,1.4547595903472113,5.72,83.0,34.0,33.0,0.43030303030303035,0.21449233253280764,286.0,10.0,0.0,0.01048951048951049,,141.0919598376842,0.05787781350482315,0.0
143,Tyto alba,Europe,355,,BA,1.4668502513072728,5.67,83.0,34.0,33.0,0.4999999999999996,0.17047066078705392,338.0,9.0,0.0,0.011834319526627219,,130.6823728224392,0.04225352112676056,0.0
144,Tyto alba,Europe,288,,BA,1.4841361150754204,5.705,83.0,34.0,33.0,0.08571428571428566,0.8717434402332362,272.0,6.0,0.0,0.23529411764705882,,94.09600888566304,0.027777777777777776,0.0
145,Tyto alba,Europe,404,,BA,1.3980579096232983,5.44,83.0,34.0,33.0,-0.3214285714285715,0.48207203829967776,390.0,7.0,0.0,0.43846153846153846,,119.72508075744798,0.022277227722772276,0.0
146,Tyto alba,Europe,154,,BA,1.6195143331272697,6.17,83.0,34.0,33.0,-0.14285714285714285,0.7871720116618075,133.0,6.0,0.0,0.09774436090225563,,94.09600888566304,0.12337662337662338,0.0
147,Tyto alba,Europe,81,,BA,1.6451524984178156,6.385,83.0,34.0,33.0,0.25714285714285723,0.6227871720116617,70.0,6.0,0.0,0.1,,94.09600888566304,0.1111111111111111,0.0
262,Tyto alba,North America,1156,2.33,NA,0.6436399260376747,3.485,79.0,36.0,25.0,0.028571428571428737,0.9571545189504371,1121.0,6.0,0.013922203190165766,0.0008920606601248885,167.70654094558432,73.29358358927647,0.025086505190311418,0.0
268,Tyto alba,North America,893,2.8,BA,0.5034992479318078,2.64,57.0,29.0,16.0,0.3999999999999992,0.6000000000000005,889.0,4.0,0.018965859770523744,0.008998875140607425,98.37083706844336,53.80236781309533,0.004479283314669653,0.0
280,Tyto alba,North America,303,,BA,0.6986434838682211,3.72,52.0,26.0,15.0,0.06666666666666696,0.864689784626203,300.0,9.0,0.0,0.013333333333333334,,131.8336116417855,0.009900990099009901,0.0
318,Tyto alba,South America,354,,BB,1.7905564995645358,7.345,41.0,14.0,18.0,0.2909090909090909,0.38545696969136567,346.0,11.0,0.0,0.008670520231213872,,138.81080827548115,0.011299435028248588,0.0
319,Tyto alba,South America,335,,BB,1.4263902833457718,5.865,38.0,14.0,16.0,0.5090909090909091,0.1097372322416563,325.0,11.0,0.0,0.003076923076923077,,137.60323376364641,0.011940298507462687,0.0
320,Tyto alba,South America,531,,BA,1.6732000649152716,6.6,35.0,14.0,18.0,0.4999999999999999,0.20703125,484.0,8.0,0.0,0.01859504132231405,,111.74726327074745,0.0018832391713747645,0.0
333,Tyto alba,Australia/Oceania,291,,BB,0.4229791519688987,2.365,53.0,5.0,23.0,0.0,NaN,250.0,1.0,0.0,1.0,,18.992969006904044,0.0,0.0
365,Tyto alba,South America,93,1.01,DA,1.7961290595361925,7.805,137.0,23.0,36.0,0.36363636363636354,0.2716375409938228,91.0,11.0,0.010944676791200772,0.01098901098901099,105.41447692307692,93.23328433834493,0.010752688172043012,0.0
403,Tyto alba,Europe,1063,2.35,BB,0.854609485321147,3.89,62.0,21.0,24.0,0.20000000000000012,0.7999999999999998,1005.0,4.0,0.017012118483199213,0.1263681592039801,75.43530087497734,59.98125185132224,0.042293233082706765,0.0
404,Tyto alba,Europe,782,2.35,BB,0.8603178979564128,3.68,62.0,21.0,24.0,0.20000000000000012,0.7999999999999998,733.0,4.0,0.017012118483199213,0.16780354706684858,91.22455744127345,59.98125185132224,0.058823529411764705,0.0
405,Tyto alba,Europe,934,2.35,BB,0.7055138056983501,3.41,62.0,21.0,24.0,0.20000000000000012,0.7999999999999998,915.0,4.0,0.017012118483199213,0.0994535519125683,66.10386331320103,59.98125185132224,0.017112299465240642,0.0
406,Tyto alba,Europe,331,2.35,BB,0.902856669273154,3.68,62.0,21.0,24.0,0.3999999999999992,0.6000000000000005,316.0,4.0,0.017012118483199213,0.0949367088607595,62.20023849484959,59.98125185132224,0.01812688821752266,0.0
408,Tyto tenebricosa,Australia/Oceania,141,,BA,1.1664481499622124,5.2,68.0,5.0,27.0,0.7142857142857139,0.04652823228416728,137.0,8.0,0.0,0.0072992700729927005,,73.48201201071959,0.02127659574468085,0.0
409,Tyto alba,Asia,142,,CA,1.2405063442028192,5.275,80.0,31.0,23.0,-0.49999999999999956,0.3910022189557709,125.0,5.0,0.0,0.632,,72.3260530014106,0.028169014084507043,0.0
410,Tyto alba,Asia,601,,BB,0.9935323852812836,3.96,65.0,23.0,27.0,0.21428571428571416,0.6445115810207203,576.0,7.0,0.0,0.04513888888888889,,106.07365538857553,0.025,0.0
411,Tyto alba,Asia,313,,BB,1.1182497911827824,4.595,65.0,23.0,27.0,0.6785714285714284,0.09375025395983137,296.0,7.0,0.0,0.0033783783783783786,,106.32921029684984,0.041401273885350316,0.0
412,Tyto alba,Asia,217,3.62,BB,1.3364552435987145,5.155,76.0,28.0,25.0,0.7999999999999997,0.1999999999999998,150.0,4.0,0.018091000666725716,0.013333333333333334,59.36446910769231,56.40418581942319,0.2304147465437788,0.0
413,Tyto alba,Asia,79,1.72,CA,1.0438464668431267,4.395,71.0,31.0,24.0,0.5952380952380948,0.11952980613879276,75.0,8.0,0.00833555436463977,0.02666666666666667,43.74125361403509,122.41635272561794,0.0,0.0
414,Tyto alba,Asia,247,,CA,1.1383118432864443,4.69,71.0,31.0,24.0,0.5476190476190472,0.1600256425388966,228.0,8.0,0.0,0.0043859649122807015,,118.99691406662583,0.02857142857142857,0.0
415,Tyto alba,Asia,7966,1.33,BB,1.3233619153609373,5.1,80.0,31.0,23.0,-0.018181818181818545,0.9576852410216178,7967.0,11.0,0.007065818408612886,0.016066273377682943,70.52434033684403,144.41471663374176,0.0,0.0
416,Tyto alba,Asia,196,1.82,CA,1.5099098772227342,5.675,35.0,16.0,5.0,0.28571428571428503,0.49272624501695794,158.0,8.0,0.013762957580412136,0.21518987341772153,116.79665696202531,74.14163396954608,0.18781725888324874,1.0
417,Tyto alba,Asia,1026,,CA,1.612359516769846,6.715,83.0,35.0,23.0,0.35164835164835123,0.2386997053420342,989.0,13.0,0.0,0.04954499494438827,,177.38559187088782,0.004873294346978557,0.0
428,Tyto alba,North America,13,,CA,1.0779308162260588,3.79,105.0,50.0,30.0,,,0.0,0.0,0.0,0.0,,0.0,0.15384615384615385,0.0
434,Tyto alba,South America,392,1.93,AA,1.4605425683908222,5.195,63.0,28.0,13.0,0.7142857142857137,0.1107871720116619,337.0,6.0,0.013494936573447937,0.005934718100890208,90.89391951862842,75.61415036755474,0.007653061224489796,0.0
478,Tyto alba,North America,1044,2.52,BB,0.9556537900507905,3.735,82.0,43.0,25.0,0.3999999999999992,0.6000000000000005,347.0,4.0,0.022401083336992974,0.008645533141210375,171.43291296829975,45.55173282982311,0.035440613026819924,0.0
505,Tyto alba,Africa,146,0.073,CA,1.5982339521683164,6.265,46.0,21.0,11.0,0.25714285714285723,0.6227871720116617,133.0,6.0,0.013424137819640244,0.022556390977443608,4.153332255639097,76.01293855702178,0.02054794520547945,0.0
513,Tyto alba,Europe,1661,,DA,1.7842886857871683,8.12,177.0,25.0,43.0,0.7999999999999997,0.009627924725379815,1040.0,9.0,0.0,0.0038461538461538464,,69.04831385595223,0.304635761589404,0.0
515,Tyto alba,Asia,1590,1.37,DA,0.7572737304836353,4.23,57.0,16.0,19.0,0.04242424242424259,0.9073638178128155,1570.0,10.0,0.008247637007618087,0.054140127388535034,106.52702019108283,123.72127462966505,0.007547169811320755,1.0
516,Tyto alba,Asia,710,1.37,DA,1.3467583706789066,6.18,57.0,16.0,19.0,-0.24999999999999964,0.5164895523012267,651.0,9.0,0.009181707666379463,0.05683563748079877,126.39430599078342,111.13489999270193,0.06619718309859154,0.0
517,Tyto alba,Asia,390,0.93,DA,1.9266112551298655,8.525,57.0,16.0,19.0,-0.2090909090909095,0.5372209352113222,307.0,11.0,0.007476190539333493,0.23778501628664495,109.4102589576547,136.48771495279146,0.13076923076923078,1.0
518,Tyto alba,Asia,644,2.49,DA,1.0423096466483062,5.605,57.0,16.0,19.0,0.23636363636363653,0.5108853175151999,591.0,10.0,0.008499010791005075,0.043993231810490696,179.66854111675127,120.06199172558466,0.046583850931677016,0.0
519,Tyto alba,Asia,126,1.41,DA,0.9756613093074972,4.24,99.0,25.0,37.0,-0.4999999999999997,0.666666666666667,115.0,3.0,0.025921194645236345,0.17391304347826086,119.66768086956522,39.36578453388648,0.015873015873015872,0.0
521,Tyto alba,Asia,978,1.29,DA,1.5817821802613472,6.155,99.0,25.0,37.0,-0.3142857142857143,0.5440932944606414,887.0,6.0,0.014810272372371744,0.23900789177001128,149.58727786150834,68.89867637875832,0.019427402862985686,0.0
525,Tyto alba,Africa,647,1.86,BA,1.1392941966790269,5.765,253.0,83.0,60.0,0.4313081554460866,0.021929395695195922,632.0,28.0,0.004030038983902471,0.02531645569620253,114.45453101265821,253.20056886328135,0.015455950540958269,0.0
527,Tyto alba,Asia,297,1.71,DA,1.9561596463163058,8.56,66.0,20.0,26.0,-0.1090909090909097,0.749508596234147,226.0,11.0,0.007476190539333493,0.25663716814159293,209.90189469026546,136.48771495279146,0.13804713804713806,1.0
528,Tyto alba,Asia,516,1.52,DA,0.9402046706908856,5.145,66.0,20.0,26.0,0.1272727272727275,0.7260570147627889,471.0,10.0,0.008499010791005075,0.04883227176220807,111.10670743099787,120.06199172558466,0.05426356589147287,0.0
529,Tyto alba,Asia,1142,1.37,DA,0.7365705146046848,4.155,66.0,20.0,26.0,0.016666666666667027,0.9660548039946854,1130.0,9.0,0.00951025601646638,0.05929203539823009,108.14392035398231,107.29555140245824,0.00788091068301226,0.0
530,Tyto alba,Asia,458,1.32,DA,1.3458343515704525,5.85,66.0,20.0,26.0,-0.5833333333333327,0.09918581647988343,407.0,9.0,0.009181707666379465,0.06388206388206388,132.4610918918919,111.13489999270192,0.09606986899563319,0.0
535,Tyto alba,South America,1145,1.79,NA,2.0593906283433556,9.34,33.0,15.0,11.0,0.32417582417582425,0.27988186889313993,1046.0,13.0,0.006008176295680201,0.0057361376673040155,142.56222265774377,169.8365881838331,0.00960698689956332,0.0
544,Tyto alba,Europe,125,2.78,BA,1.6066361724224025,6.765,83.0,34.0,22.0,0.13333333333333328,0.7323675052362975,125.0,9.0,0.007282369402793956,0.264,51.166456,140.12035188352516,0.0,0.0
567,Tyto alba,Asia,156,,DA,1.8415350122785947,7.77,69.0,18.0,30.0,0.10000000000000066,0.8728885715695374,64.0,5.0,0.0,0.375,,50.23169367397395,0.0,0.0
585,Tyto alba,Europe,2414,,BA,1.249100415425022,4.5,37.0,13.0,18.0,0.28571428571428503,0.49272624501695794,2404.0,8.0,0.0,0.0016638935108153079,,114.30145856920532,0.003728251864125932,0.0
603,Tyto alba,Europe,98,2.58,BA,1.5613625441143162,6.275,83.0,34.0,22.0,0.07142857142857173,0.8665262706759082,98.0,8.0,0.008244902397153477,0.3163265306122449,48.88283877551021,123.76230962025681,0.0,0.0
611,Tyto alba,North America,224,,DB,1.8386263087823875,8.925,15.0,1.0,3.0,0.88095238095238,0.0038503204637324257,83.0,8.0,0.0,0.24096385542168675,,44.22123121891006,0.1875,0.0
612,Tyto alba,North America,293,,DB,1.8434822444644872,8.72,15.0,1.0,3.0,0.6666666666666664,0.04986723056888514,118.0,9.0,0.0,0.2033898305084746,,46.87449046428786,0.16382252559726962,0.0
617,Tyto alba,South America,755,3.24,DA,1.5723023222932662,7.67,177.0,25.0,43.0,0.5000000000000004,0.6666666666666665,143.0,3.0,0.033842643220383335,0.7412587412587412,562.6438993006993,30.15155041585868,0.16821192052980133,0.0
620,Tyto alba,Australia/Oceania,139,4.34,CA,0.13012632594940407,1.6,31.0,5.0,21.0,1.0000000000000009,0.0,136.0,3.0,0.023655920152431113,0.9852941176470589,70.26013235294117,43.13542473470173,0.0,0.0
621,Tyto alba,Australia/Oceania,229,4.32,CA,0.8229628017060014,4.075,31.0,5.0,21.0,0.7999999999999997,0.1999999999999998,184.0,4.0,0.01673388357499946,0.010869565217391304,68.526,60.97856236969422,0.048034934497816595,0.0
622,Tyto alba,Australia/Oceania,67,4.47,CA,0.5471498097321402,2.94,31.0,5.0,21.0,1.0,1.0,58.0,2.0,0.03160092069645968,0.9655172413793104,71.55082758620688,32.29045675810403,0.0,0.0
631,Tyto alba,Australia/Oceania,241,4.82,CA,0.16821318914981553,1.76,31.0,5.0,21.0,1.0000000000000009,0.0,235.0,3.0,0.025861420374945127,0.01276595744680851,78.47882978723405,39.45677184281381,0.0,0.0
667,Tyto alba,Africa,27,,BA,1.5513768148762273,6.13,123.0,42.0,35.0,0.142857142857143,0.7599453002180926,26.0,7.0,0.0,0.038461538461538464,,101.47923101835777,0.0,0.0
688,Tyto alba,Australia/Oceania,288,5.14,CA,0.13534539254811814,1.63,31.0,5.0,21.0,1.0000000000000009,0.0,280.0,3.0,0.022340418115108698,0.9928571428571429,83.31481071428571,45.67542818615422,0.010416666666666666,0.0
689,Tyto alba,Australia/Oceania,229,4.98,CA,0.13624355633716528,1.65,31.0,5.0,21.0,0.5000000000000004,0.6666666666666665,222.0,3.0,0.02365592015243111,0.9864864864864865,80.71077027027027,43.13542473470173,0.0,0.0
694,Tyto alba,Australia/Oceania,303,2.12,CA,1.0332622053876377,4.465,38.0,7.0,14.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
699,Tyto alba,Australia/Oceania,138,5.31,CA,0.2111131437402368,1.8,31.0,5.0,21.0,1.0,1.0,130.0,2.0,0.03566388781485291,0.007692307692307693,86.44067307692306,28.611803866216103,0.0,0.0
700,Tyto alba,North America,2223,,BB,1.7036689706939347,7.78,93.0,47.0,22.0,0.561764705882353,0.0235370164742808,2104.0,16.0,0.0,0.002376425855513308,,205.10833180085677,0.048582995951417005,0.0
